Diabetes Prevalence,Without Health Insurance (BRFSS),Annual Checkup,Poor Mental Health,Obesity Prevalence,Education < 9th,Education 9-12 No Diploma,High School Diploma,Associate Degree,Aged 65 and Over,Unemployed,In Poverty,Households with No Vehicle,Rural,Broadband Internet Subscription,Broadband Internet Structural Availability
13.6,11.6,79.7,19.3,43.3,3.4,8.2,41.4,5.2,17.5,4.7,19.4,7.9,0,70.3,100.0
11.9,14.4,72.8,20.7,38.6,9.2,10.8,40.9,4.6,16.2,2.1,18.9,5.1,0,67.5,100.0
14.6,14.4,76.6,21.2,43.3,8.1,10.9,45.9,4.5,23.6,3.6,23.5,8.3,0,66.3,100.0
10.8,11.1,74.8,20.4,39.1,5.0,10.2,38.9,6.9,18.8,3.9,15.5,5.3,0,77.7,100.0
16.3,15.8,77.2,20.2,46.9,5.9,12.4,45.6,5.7,19.2,5.7,27.7,19.9,0,72.0,100.0
12.2,13.8,75.3,18.3,41.5,6.4,12.4,48.2,4.6,15.5,1.0,15.1,4.8,0,56.3,100.0
10.8,10.2,76.4,18.8,40.6,2.2,7.9,43.6,8.3,20.7,4.7,12.4,6.9,0,73.1,100.0
10.6,11.0,73.4,19.6,39.9,3.8,8.4,44.4,8.0,19.6,2.7,15.7,5.8,0,74.8,100.0
9.2,9.5,75.8,18.6,36.8,3.4,6.6,37.8,10.8,13.7,3.1,11.6,4.3,0,85.1,100.0
10.7,12.2,73.6,20.0,38.6,5.8,9.3,49.9,4.4,19.1,2.7,16.5,4.1,0,79.1,100.0
10.3,10.9,73.7,20.5,37.3,4.3,9.5,36.6,8.6,27.8,3.4,18.1,4.5,0,82.2,100.0
12.1,11.5,76.5,19.8,38.1,4.3,8.8,36.2,7.0,16.5,4.0,18.1,8.8,0,79.6,100.0
13.0,12.9,77.8,20.1,39.2,6.4,11.0,41.3,7.3,14.6,5.8,21.8,10.2,0,78.8,100.0
13.5,13.3,77.5,20.9,43.0,7.8,13.4,41.3,5.5,22.9,5.2,21.4,13.6,0,68.0,100.0
11.2,11.8,74.4,20.3,37.8,5.0,11.1,32.9,8.8,26.8,4.1,18.9,3.3,1,70.8,100.0
12.4,12.0,76.6,20.0,40.1,3.9,5.2,51.3,8.2,20.5,3.8,25.2,5.9,0,71.5,100.0
9.7,10.2,74.6,19.2,39.9,4.6,10.2,37.9,7.0,26.5,2.1,10.3,2.6,0,69.1,100.0
13.0,11.8,77.9,20.1,40.0,3.0,9.4,40.5,7.1,20.4,3.1,21.1,11.6,0,78.1,100.0
10.1,10.3,74.8,19.3,37.7,3.5,5.2,43.4,6.1,19.9,2.1,15.3,7.1,0,74.5,100.0
16.1,14.1,80.5,21.1,43.1,7.1,11.2,31.8,10.3,18.9,7.7,33.3,15.7,0,70.7,100.0
10.5,11.4,73.6,19.0,37.2,6.7,5.4,38.2,6.8,20.1,2.0,17.7,4.7,1,74.5,100.0
12.0,12.7,75.5,20.9,45.1,9.1,9.4,44.8,4.1,17.9,2.3,20.8,8.7,0,77.4,100.0
10.8,11.7,74.5,20.2,35.5,3.7,7.8,38.1,8.1,22.6,5.6,20.9,5.3,0,77.2,100.0
11.0,11.8,74.4,19.6,38.3,5.7,10.0,33.8,6.6,15.4,3.3,17.4,4.8,0,81.1,100.0
10.0,10.2,74.0,19.0,36.7,4.2,8.9,42.4,7.5,23.3,3.3,10.0,2.5,0,67.2,100.0
11.0,9.5,78.0,17.0,39.0,3.0,5.5,25.7,7.8,15.6,3.3,15.8,7.1,0,83.6,100.0
11.4,11.8,75.2,20.4,42.0,6.5,7.9,38.3,9.1,19.5,3.8,19.3,5.4,0,70.2,100.0
9.2,8.6,75.7,17.6,35.0,2.7,5.5,30.7,9.5,17.8,2.4,8.6,3.8,0,86.9,100.0
11.0,12.9,74.1,19.8,39.5,7.7,12.3,40.8,7.4,20.2,3.3,15.2,7.9,0,67.9,100.0
11.8,12.9,74.4,20.9,39.0,8.4,11.4,39.6,7.2,25.2,2.0,24.1,7.3,0,65.1,100.0
11.3,12.4,75.7,18.8,38.6,6.2,9.3,29.6,7.2,16.0,3.0,17.5,6.3,0,80.6,100.0
12.9,19.0,74.9,19.7,42.5,13.2,13.3,34.5,8.3,13.9,2.8,21.6,4.9,0,78.1,100.0
11.5,12.4,74.9,21.0,40.0,5.2,12.6,39.0,6.5,25.0,2.5,18.0,5.7,0,60.1,100.0
11.7,12.0,74.8,21.7,40.9,4.6,10.8,34.5,11.7,26.8,3.2,20.9,7.9,1,51.7,100.0
11.7,11.2,75.6,19.5,39.0,3.9,9.8,38.0,8.7,17.7,2.3,18.5,5.0,0,69.0,100.0
11.1,11.9,73.2,20.7,39.9,5.0,10.0,41.4,7.5,25.7,2.4,17.6,6.3,0,69.9,100.0
10.1,11.4,72.2,18.0,33.4,6.9,6.6,27.6,6.0,11.7,3.1,15.3,4.6,0,84.9,100.0
10.7,10.8,76.2,19.4,36.9,4.5,9.7,40.4,8.2,16.0,3.0,15.3,6.1,0,82.5,100.0
12.8,12.3,76.6,20.2,39.8,5.5,12.1,43.1,8.2,23.6,4.3,20.8,9.3,0,60.2,100.0
11.8,15.7,74.2,19.7,37.3,9.0,13.6,37.7,6.0,17.2,2.1,13.8,6.4,0,76.3,100.0
15.4,16.7,62.8,22.7,37.7,8.1,9.8,31.0,8.4,15.4,3.5,33.9,13.7,0,42.9,100.0
9.7,15.1,66.4,15.5,34.3,4.7,6.6,24.4,11.1,22.5,3.3,14.2,5.9,0,84.5,100.0
9.5,10.7,63.8,17.4,26.4,3.3,5.7,21.3,8.2,12.9,4.8,17.6,5.2,0,80.6,100.0
9.8,14.1,63.1,19.0,36.6,2.8,10.3,28.5,9.5,28.8,3.4,19.8,6.4,0,74.2,100.0
10.9,16.9,66.4,17.8,36.3,4.4,12.2,29.6,11.1,13.8,2.9,20.0,4.6,0,81.4,100.0
9.6,16.2,63.4,15.6,31.1,3.9,8.4,32.6,7.7,12.9,2.1,11.6,1.5,0,89.1,100.0
11.2,18.3,63.0,18.5,35.3,5.8,10.2,34.0,9.2,39.6,3.1,20.2,4.8,0,71.3,100.0
9.5,12.9,68.0,16.5,30.9,5.1,6.1,22.0,8.9,15.2,3.2,12.0,5.3,0,90.2,100.0
10.1,14.4,63.3,18.2,35.7,3.6,8.9,34.3,9.0,30.4,3.4,16.0,4.6,0,83.9,100.0
12.8,15.3,65.8,20.1,38.2,5.4,10.1,29.5,8.9,18.2,4.9,25.5,8.4,0,67.0,100.0
9.1,13.3,66.9,17.0,32.9,4.1,6.5,21.4,9.0,19.8,3.6,15.1,7.4,0,89.1,100.0
10.1,14.5,68.8,16.0,37.5,4.4,8.1,30.4,10.1,20.4,3.2,11.4,3.8,0,89.0,100.0
12.8,26.3,65.3,16.9,35.5,10.2,12.1,26.1,8.0,18.0,5.6,21.6,5.8,0,80.8,100.0
7.9,11.5,66.2,17.5,27.4,2.2,6.3,25.2,9.4,31.9,2.7,12.5,3.9,0,87.6,100.0
13.0,23.7,65.5,16.4,40.8,12.8,12.3,26.6,8.3,19.0,4.4,18.3,5.4,0,82.5,100.0
9.4,7.3,60.3,13.9,24.8,5.7,5.3,16.7,6.4,14.0,3.4,8.9,8.9,0,92.2,100.0
8.8,7.0,61.0,16.3,29.1,3.5,2.8,25.7,4.4,28.2,4.9,12.9,2.8,1,84.6,100.0
8.7,8.6,60.6,16.2,29.6,2.4,6.3,30.7,13.6,26.7,3.2,7.9,5.8,0,85.9,100.0
9.8,8.8,61.5,17.7,31.0,3.4,6.3,22.3,10.6,18.0,4.2,17.7,6.3,0,89.0,100.0
9.3,8.6,60.7,17.6,30.6,2.3,6.9,30.9,10.6,28.0,3.1,14.1,1.5,0,85.9,100.0
11.9,17.7,60.4,17.0,33.4,16.8,9.8,30.5,9.6,14.6,3.4,13.0,4.6,0,79.0,100.0
9.1,8.0,59.7,13.9,24.3,5.3,5.0,17.5,8.3,15.8,3.8,8.2,5.2,0,94.0,100.0
11.1,12.5,59.9,18.1,32.7,5.1,14.3,31.0,8.4,17.9,3.4,17.3,7.1,0,88.4,100.0
7.7,6.5,60.3,15.5,28.1,1.8,3.5,20.8,11.5,21.5,2.7,8.7,3.9,0,90.2,99.95
12.6,15.7,62.4,16.6,36.8,12.4,9.7,22.7,9.0,12.1,5.3,20.2,7.4,0,83.7,100.0
11.3,15.0,60.5,17.7,31.8,14.3,9.2,30.3,8.2,16.2,4.2,15.1,3.5,0,82.7,100.0
10.1,8.3,60.4,18.3,33.2,2.7,6.3,23.1,10.1,18.1,5.5,20.3,6.7,0,87.9,100.0
14.9,22.5,60.6,17.0,38.0,14.7,14.8,25.6,6.3,12.8,7.1,21.0,6.2,0,85.3,100.0
