state,county,name,ed_lt9,ed_9_12,ed_hs,ed_sc,ed_asc,ed_b,ed_gr,age_gte65,race_white,race_black,race_aian,race_asian,race_nhopi,race_other,eth_hisp,sex_male,sex_female,occ_n_lab,occ_mgt,occ_svc,occ_sales,occ_nat_res,occ_prod,hlth_unins,ses_pov,tp_veh_0,tp_veh_1,tp_veh_2,tp_veh_3,dg_bb_int
48,283,"La Salle County, Texas",9.9,21.3,45.1,13.3,2.7,6.1,1.6,15.0,65.2,2.1,0.0,0.1,0.0,8.7,84.8,61.6,38.4,53.9,19.0,30.2,18.7,25.3,6.8,21.1,22.9,2.1,20.1,44.1,33.8,75.7
48,285,"Lavaca County, Texas",7.7,6.0,39.6,21.2,7.6,13.3,4.6,23.4,78.3,6.0,0.1,0.4,0.0,10.4,19.7,48.4,51.6,39.9,33.9,13.1,19.6,13.3,20.1,11.4,9.4,4.3,27.3,39.8,28.7,78.3
48,287,"Lee County, Texas",6.7,6.2,40.3,25.2,7.4,9.9,4.4,19.5,79.6,11.1,0.1,1.2,0.0,1.8,24.4,48.6,51.4,41.3,32.6,19.6,17.8,14.5,15.5,16.5,11.8,4.8,21.7,39.0,34.4,81.0
48,289,"Leon County, Texas",6.9,9.7,36.1,24.6,5.4,11.2,6.0,24.2,84.8,6.2,0.4,0.9,0.3,5.0,15.3,49.5,50.5,48.7,28.3,20.2,22.3,15.9,13.3,18.1,18.3,3.1,30.1,41.7,25.1,72.2
48,291,"Liberty County, Texas",9.1,12.9,38.9,23.5,5.8,7.4,2.5,12.6,71.8,9.0,0.5,0.4,0.0,9.2,29.3,49.6,50.4,48.3,23.3,16.5,19.2,19.8,21.2,24.0,15.0,4.6,27.8,42.4,25.1,87.0
48,293,"Limestone County, Texas",6.2,9.3,34.9,25.7,8.2,10.9,4.8,19.2,69.2,16.9,0.5,1.0,0.2,1.7,22.7,51.7,48.3,50.4,25.9,19.9,17.2,17.6,19.4,18.7,19.1,4.4,29.6,37.8,28.3,68.2
48,295,"Lipscomb County, Texas",7.3,6.8,29.9,22.7,7.7,20.0,5.4,15.9,75.3,1.1,0.7,1.2,0.2,11.0,33.8,45.6,54.4,33.0,33.8,16.9,17.6,15.1,16.6,18.7,11.4,3.7,23.9,34.4,38.0,83.3
48,297,"Live Oak County, Texas",8.4,15.0,31.8,27.6,4.5,8.7,4.1,19.3,91.7,2.3,0.2,0.7,0.0,2.6,40.7,53.3,46.7,56.5,29.2,15.2,22.5,19.0,14.1,15.0,19.0,4.1,32.1,45.8,17.9,66.7
48,299,"Llano County, Texas",2.6,8.3,26.4,25.3,6.7,21.2,9.6,36.4,90.2,0.6,0.9,0.4,0.0,3.2,11.3,48.6,51.4,52.0,32.2,17.6,24.1,14.0,12.1,15.9,9.1,3.1,29.7,41.4,25.8,86.2
48,301,"Loving County, Texas",0.0,5.8,17.3,28.8,48.1,0.0,0.0,31.3,98.8,0.0,0.0,1.2,0.0,0.0,0.0,50.6,49.4,50.0,61.5,0.0,11.5,0.0,26.9,0.0,1.2,3.0,27.3,69.7,0.0,97.0
